,Date_min,Date_max,S&P500_first,S&P500_last,No_of_days,S&P500_price,Return_on_investment,Year
0,2011-01-21,2011-02-04,128.3699951171875,131.14999389648438,14 days,2.779998779296875,-2.165614150533429,2011
1,2011-02-22,2011-03-11,131.8300018310547,130.83999633789062,17 days,-0.9900054931640625,0.7509713110925986,2011
2,2011-03-14,2011-03-31,130.0500030517578,132.58999633789062,17 days,2.5399932861328125,-1.9530897551166788,2011
3,2011-04-01,2011-04-15,133.14999389648438,132.0399932861328,14 days,-1.1100006103515625,0.8336467602202902,2011
5,2011-04-21,2011-05-17,133.77999877929688,133.1699981689453,26 days,-0.6100006103515625,0.4559729525471994,2011
6,2011-05-18,2011-06-27,134.36000061035156,127.94000244140625,40 days,-6.4199981689453125,4.778206415437225,2011
8,2011-07-07,2011-07-21,135.36000061035156,134.49000549316406,14 days,-0.8699951171875,0.6427268862770461,2011
10,2011-07-29,2011-08-30,129.3300018310547,121.68000030517578,32 days,-7.650001525878906,5.915102000750139,2011
11,2011-08-31,2011-09-07,122.22000122070312,120.29000091552734,7 days,-1.9300003051757812,1.5791198542786873,2011
13,2011-09-12,2011-09-26,116.66999816894531,116.23999786376953,14 days,-0.43000030517578125,0.3685611656161285,2011
16,2011-09-29,2011-10-04,116.05000305175781,112.33999633789062,5 days,-3.7100067138671875,3.196903590095161,2011
17,2011-10-05,2011-10-19,114.41999816894531,121.12999725341797,14 days,6.709999084472656,-5.864358671431802,2011
18,2011-11-18,2011-11-23,121.9800033569336,116.55999755859375,5 days,-5.420005798339844,4.443356000310985,2011
19,2012-04-09,2012-05-10,138.22000122070312,136.02000427246094,31 days,-2.1999969482421875,1.5916632389037062,2012
20,2012-05-11,2012-06-13,135.61000061035156,132.07000732421875,33 days,-3.5399932861328125,2.610421997050409,2012
21,2012-06-14,2012-06-28,133.47000122070312,132.7899932861328,14 days,-0.6800079345703125,0.5094837254446958,2012
22,2012-07-09,2012-07-16,135.32000732421875,135.42999267578125,7 days,0.1099853515625,-0.08127796749151628,2012
25,2012-10-23,2012-11-28,141.4199981689453,141.4600067138672,36 days,0.040008544921875,-0.028290585093969867,2012
26,2012-11-30,2012-12-06,142.14999389648438,141.97999572753906,6 days,-0.1699981689453125,0.11959069732293415,2012
28,2013-04-17,2013-04-24,155.11000061035156,157.8800048828125,7 days,2.7700042724609375,-1.785832158829919,2013
29,2013-06-04,2013-06-14,163.55999755859375,163.17999267578125,10 days,-0.3800048828125,0.2323336319911391,2013
30,2013-06-17,2013-07-01,164.44000244140625,161.36000061035156,14 days,-3.0800018310546875,1.8730246809331987,2013
31,2013-07-02,2013-07-10,161.2100067138672,165.19000244140625,8 days,3.9799957275390625,-2.468826724015443,2013
33,2013-08-09,2013-08-23,169.30999755859375,166.6199951171875,14 days,-2.69000244140625,1.5888030714047545,2013
34,2013-08-26,2013-09-03,166.0,164.38999938964844,8 days,-1.6100006103515625,0.9698798857539543,2013
35,2013-09-04,2013-09-09,165.75,167.6300048828125,5 days,1.8800048828125,-1.1342412565987985,2013
36,2013-09-11,2013-09-16,169.39999389648438,170.30999755859375,5 days,0.910003662109375,-0.5371922638116757,2013
37,2013-09-23,2013-10-07,169.92999267578125,167.42999267578125,14 days,-2.5,1.4711940844780003,2013
39,2013-10-09,2013-10-17,165.60000610351562,173.22000122070312,8 days,7.6199951171875,-4.601446157208656,2013
40,2013-12-12,2013-12-19,178.1300048828125,181.49000549316406,7 days,3.3600006103515625,-1.8862631326833679,2013
44,2014-01-29,2014-02-07,177.35000610351562,179.67999267578125,9 days,2.329986572265625,-1.3137786817473511,2014
45,2014-02-10,2014-02-21,180.00999450683594,183.88999938964844,11 days,3.8800048828125,-2.155438587419738,2014
46,2014-03-13,2014-03-17,185.17999267578125,186.3300018310547,4 days,1.1500091552734375,-0.6210223570355851,2014
47,2014-03-24,2014-03-31,185.42999267578125,187.00999450683594,7 days,1.5800018310546875,-0.8520745798751506,2014
48,2014-04-04,2014-04-10,186.39999389648438,183.16000366210938,6 days,-3.239990234375,1.7381922427391743,2014
49,2014-04-11,2014-04-15,181.50999450683594,184.1999969482422,4 days,2.69000244140625,-1.482013400262062,2014
50,2014-04-16,2014-05-19,186.1300048828125,188.74000549316406,33 days,2.6100006103515625,-1.4022460333543876,2014
52,2014-05-21,2014-05-30,189.1300048828125,192.67999267578125,9 days,3.54998779296875,-1.8770093064653537,2014
53,2014-07-17,2014-07-30,195.7100067138672,196.97999572753906,13 days,1.269989013671875,-0.6489136835648139,2014
54,2014-07-31,2014-08-15,193.08999633789062,195.72000122070312,15 days,2.6300048828125,-1.362061698012667,2014
55,2014-08-18,2014-09-19,197.36000061035156,200.6999969482422,32 days,3.339996337890625,-1.6923370123436428,2014
56,2014-09-22,2014-10-29,199.14999389648438,198.11000061035156,37 days,-1.0399932861328125,0.5222160773318336,2014
57,2014-10-30,2014-11-06,199.3800048828125,203.14999389648438,7 days,3.769989013671875,-1.890856114627809,2014
60,2014-12-18,2015-01-05,206.77999877929688,201.72000122070312,18 days,-5.05999755859375,2.4470440025461215,2014
62,2015-01-08,2015-01-16,205.89999389648438,201.6300048828125,8 days,-4.269989013671875,2.0738169695228805,2015
64,2015-01-21,2015-01-29,203.0800018310547,201.99000549316406,8 days,-1.089996337890625,0.5367324837811509,2015
67,2015-03-11,2015-04-08,204.5,207.97999572753906,28 days,3.4799957275390625,-1.701709402219592,2015
69,2015-05-26,2015-06-26,210.6999969482422,209.82000732421875,31 days,-0.8799896240234375,0.41765051578980206,2015
70,2015-06-29,2015-07-14,205.4199981689453,210.67999267578125,15 days,5.2599945068359375,-2.5606048844912976,2015
71,2015-07-15,2015-07-20,210.61000061035156,212.58999633789062,5 days,1.9799957275390625,-0.9401242684587601,2015
72,2015-07-21,2015-08-03,211.75,209.7899932861328,13 days,-1.9600067138671875,0.9256230053682089,2015
74,2015-08-05,2015-09-21,210.07000732421875,196.4600067138672,47 days,-13.610000610351562,6.478792848017605,2015
76,2015-09-24,2015-10-02,192.89999389648438,195.0,8 days,2.100006103515625,-1.08865016586914,2015
77,2015-10-05,2015-10-19,198.47000122070312,203.3699951171875,14 days,4.899993896484375,-2.4688838949698493,2015
82,2015-12-14,2016-01-08,202.89999389648438,191.9199981689453,25 days,-10.979995727539062,5.4115308318544635,2015
83,2016-01-11,2016-01-28,192.11000061035156,189.11000061035156,17 days,-3.0,1.5616053253181548,2016
84,2016-01-29,2016-02-02,193.72000122070312,190.16000366210938,4 days,-3.55999755859375,1.837702630683907,2016
85,2016-02-03,2016-02-12,191.3000030517578,186.6300048828125,9 days,-4.6699981689453125,2.441190849161572,2016
86,2016-02-16,2016-02-23,189.77999877929688,192.32000732421875,7 days,2.540008544921875,-1.3383963332594107,2016
88,2016-06-24,2016-06-28,203.24000549316406,203.1999969482422,4 days,-0.040008544921875,0.01968536894338513,2016
90,2016-09-13,2016-09-20,213.22999572753906,213.4199981689453,7 days,0.19000244140625,-0.08910680730352283,2016
91,2016-09-26,2016-10-05,214.24000549316406,215.6300048828125,9 days,1.3899993896484375,-0.6488047768897047,2016
92,2016-10-11,2016-10-31,213.42999267578125,212.5500030517578,20 days,-0.8799896240234375,0.41230832320751176,2016
94,2016-11-07,2016-11-11,213.14999389648438,216.4199981689453,4 days,3.2700042724609375,-1.5341329421050744,2016
96,2017-03-17,2017-04-12,237.02999877929688,234.02999877929688,26 days,-3.0,1.2656625808758264,2017
98,2017-04-17,2017-04-28,234.57000732421875,238.0800018310547,11 days,3.5099945068359375,-1.4963526440891002,2017
107,2017-07-06,2017-07-12,240.5500030517578,244.00999450683594,6 days,3.459991455078125,-1.4383668306724928,2017
111,2017-08-17,2017-08-24,243.08999633789062,243.99000549316406,7 days,0.9000091552734375,-0.3702370187304638,2017
112,2017-08-25,2017-09-01,244.55999755859375,247.83999633789062,7 days,3.279998779296875,-1.341183681730712,2017
114,2017-11-13,2017-11-17,258.3299865722656,257.8599853515625,4 days,-0.470001220703125,0.18193831344920852,2017
115,2018-02-02,2018-03-05,275.45001220703125,272.19000244140625,31 days,-3.260009765625,1.183521372718161,2018
118,2018-03-09,2018-03-14,278.8699951171875,275.29998779296875,5 days,-3.57000732421875,1.2801690345777672,2018
119,2018-03-15,2018-04-16,275.0,267.3299865722656,32 days,-7.670013427734375,2.7890957919034065,2018
120,2018-04-17,2018-05-09,270.19000244140625,269.5,22 days,-0.69000244140625,0.2553767479075759,2018
121,2018-05-24,2018-05-31,272.79998779296875,270.94000244140625,7 days,-1.8599853515625,0.6818128426655363,2018
122,2018-06-25,2018-07-17,271.0,280.4700012207031,22 days,9.470001220703125,-3.4944653950933997,2018
125,2018-09-27,2018-10-02,290.69000244140625,291.55999755859375,5 days,0.8699951171875,-0.29928621895514596,2018
126,2018-10-04,2018-10-08,289.44000244140625,287.82000732421875,4 days,-1.6199951171875,0.5596998008302023,2018
127,2018-10-09,2018-11-07,287.3999938964844,281.010009765625,29 days,-6.389984130859375,2.223376571525222,2018
129,2018-11-09,2019-01-08,277.760009765625,256.7699890136719,60 days,-20.990020751953125,7.556890846045334,2018
130,2019-01-09,2019-01-17,257.9700012207031,262.9599914550781,8 days,4.989990234375,-1.9343296549066054,2019
132,2019-05-06,2019-05-24,292.82000732421875,282.7799987792969,18 days,-10.040008544921875,3.428730378319159,2019
133,2019-05-28,2019-06-03,280.1499938964844,274.57000732421875,6 days,-5.579986572265625,1.9917853627822808,2019
134,2019-06-04,2019-06-20,280.5299987792969,295.8599853515625,16 days,15.329986572265625,-5.46465142372395,2019
135,2019-06-24,2019-06-28,293.6400146484375,293.0,4 days,-0.6400146484375,0.21795893492368634,2019
136,2019-07-17,2019-07-23,297.739990234375,300.0299987792969,6 days,2.290008544921875,-0.7691303217680598,2019
140,2019-08-07,2019-08-12,287.9700012207031,288.07000732421875,5 days,0.100006103515625,-0.034727958847000195,2019
144,2019-08-20,2019-08-28,290.0899963378906,288.8900146484375,8 days,-1.199981689453125,0.413658417939871,2019
146,2019-08-30,2019-09-03,292.45001220703125,290.739990234375,4 days,-1.71002197265625,0.5847228248517524,2019
147,2019-09-04,2019-09-09,294.0400085449219,298.20001220703125,5 days,4.160003662109375,-1.4147747045361,2019
148,2019-10-01,2019-10-18,293.239990234375,297.9700012207031,17 days,4.730010986328125,-1.6130170317314452,2019
151,2020-02-20,2020-02-24,336.95001220703125,322.4200134277344,4 days,-14.529998779296875,4.312211975932286,2020
152,2020-02-25,2020-04-03,312.6499938964844,248.19000244140625,38 days,-64.45999145507812,20.617301363652118,2020
155,2020-04-08,2020-05-19,274.0299987792969,291.9700012207031,41 days,17.94000244140625,-6.546729380477473,2020
156,2020-05-22,2020-05-26,295.44000244140625,299.0799865722656,4 days,3.639984130859375,-1.232055273754355,2020
158,2020-06-24,2020-07-02,304.0899963378906,312.2300109863281,8 days,8.1400146484375,-2.6768439430650233,2020
163,2021-03-03,2021-03-10,381.4200134277344,389.5799865722656,7 days,8.15997314453125,-2.1393668022816854,2021
164,2021-03-23,2021-04-01,389.5,400.6099853515625,9 days,11.1099853515625,-2.852371078706682,2021
165,2021-04-08,2021-04-15,408.5199890136719,415.8699951171875,7 days,7.350006103515625,-1.7991790612893652,2021
166,2021-04-19,2021-04-23,415.2099914550781,416.739990234375,4 days,1.529998779296875,-0.368487948455936,2021
167,2021-04-30,2021-06-10,417.29998779296875,423.6099853515625,41 days,6.30999755859375,-1.5121010647439306,2021
168,2021-06-16,2021-07-16,422.1099853515625,431.3399963378906,30 days,9.230010986328125,-2.1866364944294787,2021
170,2021-07-23,2021-08-17,439.94000244140625,444.0400085449219,25 days,4.100006103515625,-0.9319466474435103,2021
172,2021-08-23,2021-09-09,447.260009765625,448.9800109863281,17 days,1.720001220703125,-0.384564052932987,2021
177,2021-09-17,2021-10-07,441.3999938964844,438.6600036621094,20 days,-2.739990234375,0.6207499484056456,2021
180,2021-10-14,2021-10-18,442.5,447.19000244140625,4 days,4.69000244140625,-1.0598875573799376,2021
184,2021-12-02,2021-12-06,457.3999938964844,458.7900085449219,4 days,1.3900146484375,-0.30389476759636125,2021
185,2021-12-07,2021-12-22,468.2799987792969,467.69000244140625,15 days,-0.589996337890625,0.12599221393794835,2021
188,2022-01-24,2022-01-28,439.8399963378906,441.95001220703125,4 days,2.110015869140625,-0.47972351007381064,2022
189,2022-01-31,2022-02-22,449.9100036621094,429.57000732421875,22 days,-20.339996337890625,4.520903330072727,2022
192,2022-03-01,2022-03-15,429.9800109863281,426.1700134277344,14 days,-3.80999755859375,0.8860871345749359,2022
193,2022-03-16,2022-03-25,435.6199951171875,452.69000244140625,9 days,17.07000732421875,-3.9185545924324856,2022
194,2022-04-05,2022-04-25,451.0299987792969,428.510009765625,20 days,-22.519989013671875,4.993013563315458,2022
195,2022-04-26,2022-05-02,416.1000061035156,414.4800109863281,6 days,-1.6199951171875,0.3893283089220887,2022
197,2022-05-04,2022-05-26,429.05999755859375,405.30999755859375,22 days,-23.75,5.535356391912686,2022
198,2022-05-27,2022-06-13,415.260009765625,375.0,17 days,-40.260009765625,9.695132885140552,2022
201,2022-06-16,2022-06-21,366.6499938964844,375.07000732421875,5 days,8.420013427734375,-2.2964717217782322,2022
202,2022-06-22,2022-06-29,374.3900146484375,380.3399963378906,7 days,5.949981689453125,-1.589246896726209,2022
203,2022-06-30,2022-07-06,377.25,383.25,6 days,6.0,-1.5904572564612351,2022
204,2022-07-07,2022-07-28,388.989990234375,406.07000732421875,21 days,17.08001708984375,-4.390862880443962,2022
206,2022-09-01,2022-09-21,396.4200134277344,377.3900146484375,20 days,-19.029998779296875,4.800463683644466,2022
207,2022-09-22,2022-10-03,374.2200012207031,366.6099853515625,11 days,-7.610015869140625,2.0335673786320427,2022
209,2022-10-06,2022-10-17,373.20001220703125,366.82000732421875,11 days,-6.3800048828125,1.7095403735606567,2022
210,2022-10-18,2022-10-24,371.1300048828125,378.8699951171875,6 days,7.739990234375,-2.085519934401134,2022
211,2022-12-16,2023-01-10,383.2699890136719,390.5799865722656,25 days,7.30999755859375,-1.9072710538609243,2022
216,2023-03-16,2023-03-31,396.1099853515625,409.3900146484375,15 days,13.280029296875,-3.3526115947540376,2023
